book,author,url,excerpt
Metamorphosis,Franz Kafka,https://www.gutenberg.org/files/5200/5200-h/5200-h.htm,"Gregor’s sister rushed to his mother and put her hand on her forehead. Her words seemed to give Gregor’s father some more definite ideas. He sat upright, played with his uniform cap between the plates left by the three gentlemen after their meal, and occasionally looked down at Gregor as he lay there immobile. “We have to try and get rid of it”, said Gregor’s sister, now speaking only to her father, as her mother was too occupied with coughing to listen, “it’ll be the death of both of you, I can see it coming. We can’t all work as hard as we have to and then come home to be tortured like this, we can’t endure it."
Dracula,Bram Stoker,https://www.gutenberg.org/files/345/345-h/345-h.htm,"Again the operation; again the narcotic; again some return of colour to the ashy cheeks, and the regular breathing of healthy sleep. This time I watched whilst Van Helsing recruited himself and rested. After another hour Lucy waked from her sleep, fresh and bright and seemingly not much the worse for her terrible ordeal. What does it all mean? I am beginning to wonder if my long habit of life amongst the insane is beginning to tell upon my own brain. Lucy Westenra’s Diary. 17 September.—Four days and nights of peace. I am getting so strong again that I hardly know myself."
The Scarlet Letter,Nathaniel Hawthorne,https://www.gutenberg.org/files/25344/25344-h/25344-h.htm,"“O brook! foolish and tiresome little brook!” cried Pearl, after listening awhile to its talk. “Why art thou so sad? Pluck up a spirit, and do not be all the time sighing and murmuring!” But the brook, in the course of its little lifetime among the forest-trees, had gone through so solemn an experience that it could not help talking about it, and seemed to have nothing else to say. Pearl resembled the brook, inasmuch as the current of her life gushed from a well-spring as mysterious, and had flowed through scenes shadowed as heavily with gloom. But, unlike the little stream, she danced and sparkled, and prattled airily along her course."
The Yellow Wallpaper,Charlotte Perkins Gilman,https://www.gutenberg.org/files/1952/1952-h/1952-h.htm,"It gets into my hair. Even when I go to ride, if I turn my head suddenly and surprise it—there is that smell! Such a peculiar odor, too! I have spent hours in trying to analyze it, to find what it smelled like. It is not bad—at first, and very gentle, but quite the subtlest, most enduring odor I ever met. In this damp weather it is awful. I wake up in the night and find it hanging over me. It used to disturb me at first. I thought seriously of burning the house—to reach the smell. But now I am used to it."
Grimms' Fairy Tales,Jacob Grimm and Wilhelm Grimm,https://www.gutenberg.org/files/2591/2591-h/2591-h.htm,"Every morning she went with the child to the garden where the wild beasts were kept, and washed herself there in a clear stream. It happened once when the child was a little older, that it was lying in her arms and she fell asleep. Then came the old cook, who knew that the child had the power of wishing, and stole it away, and he took a hen, and cut it in pieces, and dropped some of its blood on the queen’s apron and on her dress. Then he carried the child away to a secret place, where a nurse was obliged to suckle it, and he ran to the king and accused the queen of having allowed her child to be taken from her by the wild beasts."
Jane Eyre: An Autobiography,Charlotte Brontë,https://www.gutenberg.org/files/1260/1260-h/1260-h.htm,"“You are not a servant at the hall, of course. You are—” He stopped, ran his eye over my dress, which, as usual, was quite simple: a black merino cloak, a black beaver bonnet; neither of them half fine enough for a lady’s-maid. He seemed puzzled to decide what I was; I helped him. “I am the governess.” “Ah, the governess!” he repeated; “deuce take me, if I had not forgotten! The governess!” and again my raiment underwent scrutiny. In two minutes he rose from the stile: his face expressed pain when he tried to move. “I cannot commission you to fetch help,” he said; “but you may help me a little yourself, if you will be so kind.”"
The Iliad,Homer,https://www.gutenberg.org/files/6130/6130-h/6130-h.htm,"ARGUMENT. The gods deliberate about the redemption of Hector’s body. Jupiter sends Thetis to Achilles, to dispose him for the restoring it, and Iris to Priam, to encourage him to go in person and treat for it. The old king, notwithstanding the remonstrances of his queen, makes ready for the journey, to which he is encouraged by an omen from Jupiter. He sets forth in his chariot, with a waggon loaded with presents, under the charge of Idaeus the herald. Mercury descends in the shape of a young man, and conducts him to the pavilion of Achilles. Their conversation on the way."
A Doll's House : a play,Henrik Ibsen,https://www.gutenberg.org/files/2542/2542-h/2542-h.htm,"“Saved”? How? I told you about our trip to Italy. Torvald would never have recovered if he had not gone there— Yes, but your father gave you the necessary funds. But— Papa didn’t give us a shilling. It was I who procured the money. You? All that large sum? Two hundred and fifty pounds. What do you think of that? But, Nora, how could you possibly do it? Did you win a prize in the Lottery? Because you couldn’t have borrowed it. Couldn’t I? Why not?"
"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,https://www.gutenberg.org/files/205/205-h/205-h.htm,"Usually the red squirrel (Sciurus Hudsonius) waked me in the dawn, coursing over the roof and up and down the sides of the house, as if sent out of the woods for this purpose. In the course of the winter I threw out half a bushel of ears of sweet-corn, which had not got ripe, on to the snow crust by my door, and was amused by watching the motions of the various animals which were baited by it. In the twilight and the night the rabbits came regularly and made a hearty meal. All day long the red squirrels came and went, and afforded me much entertainment by their manœuvres."
War and Peace,graf Leo Tolstoy,https://www.gutenberg.org/files/2600/2600-h/2600-h.htm,"The countess was now over sixty, was quite gray, and wore a cap with a frill that surrounded her face. Her face had shriveled, her upper lip had sunk in, and her eyes were dim. She would begin to say something to her in a low tone from the other end of the room. “It seems a little warmer today, my dear,” she would murmur. And when Belóva replied: “Oh yes, they’ve come,” she would mutter angrily: “O Lord! How stupid and deaf she is!” The old lady’s condition was understood by the whole household though no one ever spoke of it, and they all made every possible effort to satisfy her needs."
"The Adventures of Tom Sawyer, Complete",Mark Twain,https://www.gutenberg.org/files/74/74-h/74-h.htm,"Even the Glorious Fourth was in some sense a failure, for it rained hard, there was no procession in consequence, and the greatest man in the world (as Tom supposed), Mr. Benton, an actual United States Senator, proved an overwhelming disappointment—for he was not twenty-five feet high, nor even anywhere in the neighborhood of it. A circus came. The boys played circus for three days afterward in tents made of rag carpeting—admission, three pins for boys, two for girls—and then circusing was abandoned. A phrenologist and a mesmerizer came—and went again and left the village duller and drearier than ever."
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,https://www.gutenberg.org/files/43/43-h/43-h.htm,"“Mr. Utterson, sir, asking to see you,” he called; and even as he did so, once more violently signed to the lawyer to give ear. A voice answered from within: “Tell him I cannot see anyone,” it said complainingly. “Thank you, sir,” said Poole, with a note of something like triumph in his voice; and taking up his candle, he led Mr. Utterson back across the yard and into the great kitchen, where the fire was out and the beetles were leaping on the floor. “Sir,” he said, looking Mr. Utterson in the eyes, “Was that my master’s voice?” “It seems much changed,” replied the lawyer, very pale, but giving look for look."
Crime and Punishment,Fyodor Dostoyevsky,https://www.gutenberg.org/files/2554/2554-h/2554-h.htm,"And there was the fourth storey, here was the door, here was the flat opposite, the empty one. The flat underneath the old woman’s was apparently empty also; the visiting card nailed on the door had been torn off—they had gone away!... He was out of breath. For one instant the thought floated through his mind “Shall I go back?” But he made no answer and began listening at the old woman’s door, a dead silence. Then he listened again on the staircase, listened long and intently... then looked about him for the last time, pulled himself together, drew himself up, and once more tried the axe in the noose."
A Modest Proposal,Jonathan Swift,https://www.gutenberg.org/files/1080/1080-h/1080-h.htm,"Thirdly, Whereas the maintainance of a hundred thousand children, from two years old, and upwards, cannot be computed at less than ten shillings a piece per annum, the nation’s stock will be thereby encreased fifty thousand pounds per annum, besides the profit of a new dish, introduced to the tables of all gentlemen of fortune in the kingdom, who have any refinement in taste. And the money will circulate among our selves, the goods being entirely of our own growth and manufacture. Fourthly, The constant breeders, besides the gain of eight shillings sterling per annum by the sale of their children, will be rid of the charge of maintaining them after the first year."
A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,https://www.gutenberg.org/files/46/46-h/46-h.htm,"It held up its chain at arm’s length, as if that were the cause of all its unavailing grief, and flung it heavily upon the ground again. “At this time of the rolling year,” the spectre said, “I suffer most. Why did I walk through crowds of fellow-beings with my eyes turned down, and never raise them to that blessed Star which led the Wise Men to a poor abode! Were there no poor homes to which its light would have conducted me!” Scrooge was very much dismayed to hear the spectre going on at this rate, and began to quake exceedingly."
The Republic,Plato,https://www.gutenberg.org/ebooks/1497.html.images,"Of course, he said. But when he has disposed of foreign enemies by conquest or treaty, and there is nothing to fear from them, then he is always stirring up some war or other, in order that the people may require a leader. To be sure. Has he not also another object, which is that they may be impoverished by payment of taxes, and thus compelled to devote themselves to their daily wants and therefore less likely to conspire against him? Clearly. He must. Now he begins to grow unpopular. A necessary result. Then some of those who joined in setting him up, and who are in power, speak their minds to him and to one another, and the more courageous of them cast in his teeth what is being done."
Great Expectations,Charles Dickens,https://www.gutenberg.org/files/1400/1400-h/1400-h.htm,"All these things I saw without then knowing that I saw them, for I was in an agony of apprehension. But beginning to perceive that the handcuffs were not for me, and that the military had so far got the better of the pie as to put it in the background, I collected a little more of my scattered wits. “Would you give me the time?” said the sergeant, addressing himself to Mr. Pumblechook, as to a man whose appreciative powers justified the inference that he was equal to the time. “It’s just gone half past two.” “That’s not so bad,” said the sergeant, reflecting; “even if I was forced to halt here nigh two hours, that’ll do."
Ulysses,James Joyce,https://www.gutenberg.org/files/4300/4300-h/4300-h.htm,"met your respected father on a recent occasion, Mr Bloom diplomatically returned, today in fact, or to be strictly accurate, on yesterday. Where does he live at present? I gathered in the course of conversation that he had moved. believe he is in Dublin somewhere, Stephen answered unconcernedly. Why? gifted man, Mr Bloom said of Mr Dedalus senior, in more respects than one and a born raconteur if ever there was one. He takes great pride, quite legitimate, out of you. You could go back perhaps, he hasarded, still thinking of the very unpleasant scene at Westland Row terminus when it was perfectly evident that the other two, Mulligan, that is, and that English tourist friend of his, who eventually euchred their third companion, were patently trying as if the whole bally station belonged to them to give Stephen the slip in the confusion, which they did."
"The Count of Monte Cristo, Illustrated",Alexandre Dumas,https://www.gutenberg.org/files/1184/1184-h/1184-h.htm,"“No one; his parents are unknown.” “But who was the man who brought him from Lucca?” “Another rascal like himself, perhaps his accomplice.” The baroness clasped her hands. “Villefort,” she exclaimed in her softest and most captivating manner. “For Heaven’s sake, madame,” said Villefort, with a firmness of expression not altogether free from harshness—“for Heaven’s sake, do not ask pardon of me for a guilty wretch! What am I?—the law. Has the law any eyes to witness your grief? Has the law ears to be melted by your sweet voice? Has the law a memory for all those soft recollections you endeavor to recall? No, madame; the law has commanded, and when it commands it strikes."
The Wonderful Wizard of Oz,L. Frank Baum,https://www.gutenberg.org/files/55/55-h/55-h.htm,"The Winkies lifted him tenderly in their arms, and carried him back to the Yellow Castle again, Dorothy shedding a few tears by the way at the sad plight of her old friend, and the Lion looking sober and sorry. When they reached the castle Dorothy said to the Winkies: “Are any of your people tinsmiths?” “Oh, yes. Some of us are very good tinsmiths,” they told her. “Then bring them to me,” she said. And when the tinsmiths came, bringing with them all their tools in baskets, she inquired, “Can you straighten out those dents in the Tin Woodman, and bend him back into shape again, and solder him together where he is broken?”"
Heart of Darkness,Joseph Conrad,https://www.gutenberg.org/files/219/219-h/219-h.htm,"“‘Intimacy grows quickly out there,’ I said. knew him as well as it is possible for one man to know another.’ “‘And you admired him,’ she said. ‘It was impossible to know him and not to admire him. Was it?’ “‘He was a remarkable man,’ I said, unsteadily. Then before the appealing fixity of her gaze, that seemed to watch for more words on my lips, I went on, ‘It was impossible not to—’ “‘Love him,’ she finished eagerly, silencing me into an appalled dumbness. ‘How true! how true! But when you think that no one knew him so well as I! I had all his noble confidence."
Adventures of Huckleberry Finn,Mark Twain,https://www.gutenberg.org/files/76/76-h/76-h.htm,"“Why, Mars Tom, I lay I kin raise one er dem mullen-stalks twyste wid spring water whiles another man’s a start’n one wid tears.” “That ain’t the idea. You got to do it with tears.” “She’ll die on my han’s, Mars Tom, she sholy will; kase I doan’ skasely ever cry.” So Tom was stumped. But he studied it over, and then said Jim would have to worry along the best he could with an onion. He promised he would go to the nigger cabins and drop one, private, in Jim’s coffee-pot, in the morning. Jim said he would “jis’ ’s soon have tobacker in his coffee;” and found so much fault with it, and with the work and bother of raising the mullen, and jews-harping the rats, and petting and flattering up the snakes and spiders and things, on top of all the other work he had to do on pens, and inscriptions, and journals, and things, which made it more trouble and worry and responsibility to be a prisoner than anything he ever undertook, that Tom most lost all patience with him; and said he was just loadened down with more gaudier chances than a prisoner ever had in the world to make a name for himself, and yet he didn’t know enough to appreciate them, and they was just about wasted on him."
Anthem,Ayn Rand,https://www.gutenberg.org/files/1250/1250-h/1250-h.htm,"“They always work in the same places,” we answered, “and no one will take this road away from us.” “Your eyes,” they said, “are not like the eyes of any among men.” And suddenly, without cause for the thought which came to us, we felt cold, cold to our stomach. “How old are you?” we asked. They understood our thought, for they lowered their eyes for the first time. “Seventeen,” they whispered. And we sighed, as if a burden had been taken from us, for we had been thinking without reason of the Palace of Mating. And we thought that we would not let the Golden One be sent to the Palace. How to prevent it, how to bar the will of the Councils, we knew not, but we knew suddenly that we would."
The Prophet,Kahlil Gibran,https://www.gutenberg.org/files/58585/58585-h/58585-h.htm,"Only when you are empty are you at standstill and balanced. When the treasure-keeper lifts you to weigh his gold and his silver, needs must your joy or your sorrow rise or fall. 37Then a mason came forth and said, Speak to us of Houses. And he answered and said: Build of your imaginings a bower in the wilderness ere you build a house within the city walls. For even as you have home-comings in your twilight, so has the wanderer in you, the ever distant and alone. Your house is your larger body. It grows in the sun and sleeps in the stillness of the night; and it is not dreamless."
Little Women,Louisa May Alcott,https://www.gutenberg.org/files/514/514-h/514-h.htm,"""If you tell Laurie, I'll never forgive you! She mustn't, must she, Mother?"" said Meg, looking distressed. ""No, never repeat that foolish gossip, and forget it as soon as you can,"" said Mrs. March gravely. ""I was very unwise to let you go among people of whom I know so little, kind, I dare say, but worldly, ill-bred, and full of these vulgar ideas about young people. I am more sorry than I can express for the mischief this visit may have done you, Meg."" ""Don't be sorry, I won't let it hurt me. I'll forget all the bad and remember only the good, for I did enjoy a great deal, and thank you very much for letting me go."
Peter Pan,J. M. Barrie,https://www.gutenberg.org/files/16/16-h/16-h.htm,"“Brimstone and gall,” the voice retorted, “say that again, and I’ll cast anchor in you.” Hook tried a more ingratiating manner. “If you are Hook,” he said almost humbly, “come tell me, who am I?” “A codfish,” replied the voice, “only a codfish.” “A codfish!” Hook echoed blankly, and it was then, but not till then, that his proud spirit broke. He saw his men draw back from him. “Have we been captained all this time by a codfish!” they muttered. “It is lowering to our pride.” They were his dogs snapping at him, but, tragic figure though he had become, he scarcely heeded them."
The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde,https://www.gutenberg.org/files/844/844-h/844-h.htm,"Algy! Can’t you recollect what our father’s Christian name was? ALGERNON. My dear boy, we were never even on speaking terms. He died before I was a year old. His name would appear in the Army Lists of the period, I suppose, Aunt Augusta? The General was essentially a man of peace, except in his domestic life. But I have no doubt his name would appear in any military directory. Ernest! My own Ernest! I felt from the first that you could have no other name! Gwendolen, it is a terrible thing for a man to find out suddenly that all his life he has been speaking nothing but the truth."
Anne of Green Gables,L. M. Montgomery,https://www.gutenberg.org/files/45/45-h/45-h.htm,"“No, she is going back to Queen’s next year. So are Moody Spurgeon and Charlie Sloane. Jane and Ruby are going to teach and they have both got schools—Jane at Newbridge and Ruby at some place up west.” “Gilbert Blythe is going to teach too, isn’t he?” “Yes”—briefly. “What a nice-looking fellow he is,” said Marilla absently. “I saw him in church last Sunday and he seemed so tall and manly. He looks a lot like his father did at the same age. John Blythe was a nice boy. We used to be real good friends, he and I. People called him my beau.”"
The American Diary of a Japanese Girl,Yoné Noguchi,https://www.gutenberg.org/ebooks/63256.html.images,"He must have bought that great headgear just on the eve of his appointment. How stupid to leave such a bit of paper! I laughed. He asked what was so irresistibly funny. I laughed more. I hardly repressed “My dear old man.” The “helpless me” clinging on the bed for many a day feels splendid to-day. The ocean grew placid. On the land my eyes meet with a thousand temptations. They are here opened for nothing but the waters or the sun-rays. I don’t gain any lesson, but I have learned to appreciate the demonstrations of light. They were white. what a heavenly whiteness!"
The Odyssey,Homer,https://www.gutenberg.org/files/1727/1727-h/1727-h.htm,"Mr. A. Griffith has kindly called my attention to Herod iv. 42, where, speaking of the circumnavigation of Africa by Phoenician mariners under Necos, he writes: “I had better send you my ideas about Nausicaa’s hanging of the maids (not ‘maidens,’ of whom Froude wrote so well in his ‘Science of History’) before I forget it all. Luckily for me Liddell & Scott have specially translated most of the doubtful words, referring to this very place. “A ship’s cable. I don’t know how big a ship she meant, but it must have been a very small one indeed if its ‘cable’ could be used to tie tightly round a woman’s neck, and still more round a dozen of them ‘in a row,’ besides being strong enough to hold them and pull them all up."
"The Happy Prince, and Other Tales",Oscar Wilde,https://www.gutenberg.org/ebooks/902.html.images,"“Give me a red rose,” she cried, “and I will sing you my sweetest song.” But the Tree shook its head. “My roses are red,” it answered, “as red as the feet of the dove, and redder than the great fans of coral that wave and wave in the ocean-cavern. But the winter has chilled my veins, and the frost has nipped my buds, and the storm has broken my branches, and I shall have no roses at all this year.” “One red rose is all I want,” cried the Nightingale, “only one red rose! Is there no way by which I can get it?”"
A Study in Scarlet,Arthur Conan Doyle,https://www.gutenberg.org/files/244/244-h/244-h.htm,"“Why,” I cried, as I cast my eye over it, “this is terrible!” “It does seem to be a little out of the common,” he remarked, calmly. “Would you mind reading it to me aloud?” This is the letter which I read to him—— “There has been a bad business during the night at 3, Lauriston Gardens, off the Brixton Road. Our man on the beat saw a light there about two in the morning, and as the house was an empty one, suspected that something was amiss. He found the door open, and in the front room, which is bare of furniture, discovered the body of a gentleman, well dressed, and having cards in his pocket bearing the name of ‘Enoch Drebber, Cleveland, Ohio, There had been no robbery, nor is there any evidence as to how the man met his death."
Don Quixote,Miguel de Cervantes Saavedra,https://www.gutenberg.org/files/996/996-h/996-h.htm,"To which Sancho made answer, “If fortune, sirs, should bring things about in such a way that my master should have a mind, instead of being an emperor, to be an archbishop, I should like to know what archbishops-errant commonly give their squires?” “They commonly give them,” said the curate, some simple benefice or cure, or some place as sacristan which brings them a good fixed income, not counting the altar fees, which may be reckoned at as much more.” “But for that,” said Sancho, “the squire must be unmarried, and must know, at any rate, how to help at mass, and if that be so, woe is me, for I am married already and I don’t know the first letter of the A What will become of me if my master takes a fancy to be an archbishop and not an emperor, as is usual and customary with knights-errant?”"
The Souls of Black Folk,W. E. B. Du Bois,https://www.gutenberg.org/files/408/408-h/408-h.htm,"Over the inner thoughts of the slaves and their relations one with another the shadow of fear ever hung, so that we get but glimpses here and there, and also with them, eloquent omissions and silences. Mother and child are sung, but seldom father; fugitive and weary wanderer call for pity and affection, but there is little of wooing and wedding; the rocks and the mountains are well known, but home is unknown. Strange blending of love and helplessness sings through the refrain: “Yonder’s my ole mudder, Been waggin’ at de hill so long; ’Bout time she cross over, Git home bime-by.”"
The War of the Worlds,H. G. Wells,https://www.gutenberg.org/files/36/36-h/36-h.htm,"I gave a cry of astonishment. I saw and thought nothing of the other four Martian monsters; my attention was riveted upon the nearer incident. Simultaneously two other shells burst in the air near the body as the hood twisted round in time to receive, but not in time to dodge, the fourth shell. The shell burst clean in the face of the Thing. The hood bulged, flashed, was whirled off in a dozen tattered fragments of red flesh and glittering metal. “Hit!” shouted I, with something between a scream and a cheer. I heard answering shouts from the people in the water about me."
"Narrative of the Life of Frederick Douglass, an American Slave",Douglass,https://www.gutenberg.org/files/23/23-h/23-h.htm,"Sandy, one of our number, gave up the notion, but still encouraged us. Our company then consisted of Henry Harris, John Harris, Henry Bailey, Charles Roberts, and myself. Henry Bailey was my uncle, and belonged to my master. Charles married my aunt: he belonged to my master’s father-in-law, Mr. William Hamilton. The plan we finally concluded upon was, to get a large canoe belonging to Mr. Hamilton, and upon the Saturday night previous to Easter holidays, paddle directly up the Chesapeake Bay. On our arrival at the head of the bay, a distance of seventy or eighty miles from where we lived, it was our purpose to turn our canoe adrift, and follow the guidance of the north star till we got beyond the limits of Maryland. Our reason for taking the water route was, that we were less liable to be suspected as runaways; we hoped to be regarded as fishermen; whereas, if we should take the land route, we should be subjected to interruptions of almost every kind."
The Romance of Lust: A classic Victorian erotic novel,Anonymous,https://www.gutenberg.org/files/30254/30254-h/30254-h.htm,"“Do all women have such a delightful sheath—cunt I mean—between their legs as you have, dear aunt?” “Yes, my darling; but you must never stray to others; you will find none so fond of you, or I may add, without vanity, so capable of satisfying this dear fellow; but come, I see it will be dangerous to allow him to stay here longer.” “Oh, my most gloriously cunted aunt, do I fuck you? Wriggle your arse faster—that’s it! Do you feel my prick up to the hilt in your delicious cunt? Oh! what pleasure you do give me!” She replied as broadly."
The Kama Sutra of Vatsyayana,Vatsyayana,https://www.gutenberg.org/files/27827/27827-h/27827-h.htm,"When young men approach her with delight, she should think of what she may accomplish through them. The combination of gains and losses on all sides are: gain on one side, and loss on all others; loss on one side and gain on all others; gain on all sides, loss on all sides. A courtesan should also consider doubts about gain and doubts about loss with reference both to wealth, religious merit, and pleasure. Thus ends the consideration of gain, loss, attendant gains, attendant losses, and doubts. The different kinds of courtesans are: Thus end the considerations of courtesans. There are also two verses on the subject as follows:"
The Hound of the Baskervilles,Arthur Conan Doyle,https://www.gutenberg.org/files/2852/2852-h/2852-h.htm,"“Very good, Barrymore; you can go.” When the butler had left us Sir Henry turned to me. “Well, Watson, what do you think of this new light?” “It seems to leave the darkness rather blacker than before.” “So I think. But if we can only trace it should clear up the whole business. We have gained that much. We know that there is someone who has the facts if we can only find her. What do you think we should do?” “Let Holmes know all about it at once. It will give him the clue for which he has been seeking."
Wuthering Heights,Emily Brontë,https://www.gutenberg.org/files/768/768-h/768-h.htm,"“An awful Sunday,” commenced the paragraph beneath. “I wish my father were back again. Hindley is a detestable substitute—his conduct to Heathcliff is atrocious—H. and I are going to rebel—we took our initiatory step this evening. “All day had been flooding with rain; we could not go to church, so Joseph must needs get up a congregation in the garret; and, while Hindley and his wife basked downstairs before a comfortable fire—doing anything but reading their Bibles, I’ll answer for it—Heathcliff, myself, and the unhappy ploughboy were commanded to take our prayer-books, and mount: we were ranged in a row, on a sack of corn, groaning and shivering, and hoping that Joseph would shiver too, so that he might give us a short homily for his own sake."
Treasure Island,Robert Louis Stevenson,https://www.gutenberg.org/files/120/120-h/120-h.htm,"I scrambled forward and looked over. It seemed shallow enough, and holding the cut hawser in both hands for a last security, I let myself drop softly overboard. The water scarcely reached my waist; the sand was firm and covered with ripple marks, and I waded ashore in great spirits, leaving the Hispaniola on her side, with her main-sail trailing wide upon the surface of the bay. About the same time, the sun went fairly down and the breeze whistled low in the dusk among the tossing pines. At least, and at last, I was off the sea, nor had I returned thence empty-handed."
