book,author,url,excerpt
The Scarlet Letter,Nathaniel Hawthorne,https://www.gutenberg.org/files/25344/25344-h/25344-h.htm,"“It were far worse than death!” replied the minister. “But how to avoid it? What choice remains to me? Shall I lie down again on these withered leaves, where I cast myself when thou didst tell me what he was? Must I sink down there, and die at once?” “Alas, what a ruin has befallen thee!” said Hester, with the tears gushing into her eyes. “Wilt thou die for very weakness? There is no other cause!” “The judgment of God is on me,” answered the conscience-stricken priest. “It is too mighty for me to struggle with!” “Be thou strong for me!” answered he."
Metamorphosis,Franz Kafka,https://www.gutenberg.org/files/5200/5200-h/5200-h.htm,"For the first fourteen days, Gregor’s parents could not bring themselves to come into the room to see him. He would often hear them say how they appreciated all the new work his sister was doing even though, before, they had seen her as a girl who was somewhat useless and frequently been annoyed with her. But now the two of them, father and mother, would often both wait outside the door of Gregor’s room while his sister tidied up in there, and as soon as she went out again she would have to tell them exactly how everything looked, what Gregor had eaten, how he had behaved this time and whether, perhaps, any slight improvement could be seen."
The Yellow Wallpaper,Charlotte Perkins Gilman,https://www.gutenberg.org/files/1952/1952-h/1952-h.htm,"Of course it is only nervousness. It does weigh on me so not to do my duty in any way! I meant to be such a help to John, such a real rest and comfort, and here I am a comparative burden already! Nobody would believe what an effort it is to do what little I am able—to dress and entertain, and order things. It is fortunate Mary is so good with the baby. Such a dear baby! And yet I cannot be with him, it makes me so nervous. I suppose John never was nervous in his life. He laughs at me so about this wallpaper!"
Dracula,Bram Stoker,https://www.gutenberg.org/files/345/345-h/345-h.htm,"Later.—It took all my courage to say good-bye to my darling. We may never meet again. Courage, Mina! the Professor is looking at you keenly; his look is a warning. There must be no tears now—unless it may be that God will let them fall in gladness. Jonathan Harker’s Journal. It is a wild adventure we are on. Here, as we are rushing along through the darkness, with the cold from the river seeming to rise up and strike us; with all the mysterious voices of the night around us, it all comes home. We seem to be drifting into unknown places and unknown ways; into a whole world of dark and dreadful things."
Grimms' Fairy Tales,Jacob Grimm and Wilhelm Grimm,https://www.gutenberg.org/files/2591/2591-h/2591-h.htm,"Then the prince thanked his little friend with the scarlet cloak for his friendly aid, and took the wand and the bread, and went travelling on and on, over sea and over land, till he came to his journey’s end, and found everything to be as the dwarf had told him. The door flew open at the third stroke of the wand, and when the lions were quieted he went on through the castle and came at length to a beautiful hall. Around it he saw several knights sitting in a trance; then he pulled off their rings and put them on his own fingers."
A Doll's House : a play,Henrik Ibsen,https://www.gutenberg.org/files/2542/2542-h/2542-h.htm,"But Krogstad did nothing of that sort; he got himself out of it by a cunning trick, and that is why he has gone under altogether. But do you think it would—? How? Because such an atmosphere of lies infects and poisons the whole life of a home. Each breath the children take in such a house is full of the germs of evil. My dear, I have often seen it in the course of my life as a lawyer. Almost everyone who has gone to the bad early in life has had a deceitful mother."
The Iliad,Homer,https://www.gutenberg.org/files/6130/6130-h/6130-h.htm,"Dryden’s Virgil ii. 408. —From mortal mists. “Paradise Lost,” xi. 411. —The race of those. Dryden’s Virgil, vii. 386, sqq. The belief in the existence of men of larger stature in earlier times, is by no means confined to Homer. —Such stream, i.e. the ichor, or blood of the gods. “Paradise Lost,” vi. 339. This was during the wars with the Titans. —Amphitryon’s son, Hercules, born to Jove by Alcmena, the wife of Amphitryon. —Ægiale daughter of Adrastus. The Cyclic poets (See Anthon’s Lempriere, s. v.) assert Venus incited her to infidelity, in revenge for the wound she had received from her husband."
Jane Eyre: An Autobiography,Charlotte Brontë,https://www.gutenberg.org/files/1260/1260-h/1260-h.htm,"“You may look at it,” replied the girl, offering me the book. “Can you tell me what the writing on that stone over the door means? What is Lowood Institution?” “This house where you are come to live.” “And why do they call it Institution? Is it in any way different from other schools?” “Both died before I can remember.” “Well, all the girls here have lost either one or both parents, and this is called an institution for educating orphans.” “Do we pay no money? Do they keep us for nothing?” “We pay, or our friends pay, fifteen pounds a year for each.”"
"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,https://www.gutenberg.org/files/205/205-h/205-h.htm,"A true friend of man; almost the only friend of human progress. An Old Mortality, say rather an Immortality, with unwearied patience and faith making plain the image engraven in men’s bodies, the God of whom they are but defaced and leaning monuments. With his hospitable intellect he embraces children, beggars, insane, and scholars, and entertains the thought of all, adding to it commonly some breadth and elegance. I think that he should keep a caravansary on the world’s highway, where philosophers of all nations might put up, and on his sign should be printed, “Entertainment for man, but not for his beast."
A Modest Proposal,Jonathan Swift,https://www.gutenberg.org/files/1080/1080-h/1080-h.htm,"Some persons of a desponding spirit are in great concern about that vast number of poor people, who are aged, diseased, or maimed; and I have been desired to employ my thoughts what course may be taken, to ease the nation of so grievous an incumbrance. But I am not in the least pain upon that matter, because it is very well known, that they are every day dying, and rotting, by cold and famine, and filth, and vermin, as fast as can be reasonably expected. And as to the young labourers, they are now in almost as hopeful a condition."
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,https://www.gutenberg.org/files/43/43-h/43-h.htm,"“By description,” was the reply. “Whose description?” “We have common friends,” said Mr. Utterson. “Common friends,” echoed Mr. Hyde, a little hoarsely. “Who are they?” “Jekyll, for instance,” said the lawyer. “He never told you,” cried Mr. Hyde, with a flush of anger. “I did not think you would have lied.” “Come,” said Mr. Utterson, “that is not fitting language.” The other snarled aloud into a savage laugh; and the next moment, with extraordinary quickness, he had unlocked the door and disappeared into the house. The lawyer stood awhile when Mr. Hyde had left him, the picture of disquietude. Then he began slowly to mount the street, pausing every step or two and putting his hand to his brow like a man in mental perplexity."
War and Peace,graf Leo Tolstoy,https://www.gutenberg.org/files/2600/2600-h/2600-h.htm,"The right thing now was, if not to retire from the service, at any rate to go home on leave. Why he had to go he did not know; but after his after-dinner nap he gave orders to saddle Mars, an extremely vicious gray stallion that had not been ridden for a long time, and when he returned with the horse all in a lather, he informed Lavrúshka (Denísov’s servant who had remained with him) and his comrades who turned up in the evening that he was applying for leave and was going home. Difficult and strange as it was for him to reflect that he would go away without having heard from the staff—and this interested him extremely—whether he was promoted to a captaincy or would receive the Order of St. Anne for the last maneuvers; strange as it was to think that he would go away without having sold his three roans to the Polish Count Golukhovski, who was bargaining for the horses Rostóv had betted he would sell for two thousand rubles; incomprehensible as it seemed that the ball the hussars were giving in honor of the Polish Mademoiselle Przazdziecka (out of rivalry to the Uhlans who had given one in honor of their Polish Mademoiselle Borzozowska) would take place without him—he knew he must go away from this good, bright world to somewhere where everything was stupid and confused."
"The Adventures of Tom Sawyer, Complete",Mark Twain,https://www.gutenberg.org/files/74/74-h/74-h.htm,"“Well, Tom Sawyer he licked me once.” But that bid for glory was a failure. Most of the boys could say that, and so that cheapened the distinction too much. The group loitered away, still recalling memories of the lost heroes, in awed voices. There was a rustle in the gallery, which nobody noticed; a moment later the church door creaked; the minister raised his streaming eyes above his handkerchief, and stood transfixed! First one and then another pair of eyes followed the minister’s, and then almost with one impulse the congregation rose and stared while the three dead boys came marching up the aisle, Tom in the lead, Joe next, and Huck, a ruin of drooping rags, sneaking sheepishly in the rear! They had been hid in the unused gallery listening to their own funeral sermon!"
Anthem,Ayn Rand,https://www.gutenberg.org/files/1250/1250-h/1250-h.htm,"And then we spoke. Our voice was hard and there was no mercy in our voice. We said: “We shall not report our find to the City Council. We shall not report it to any men.” They raised their hands to their ears, for never had they heard such words as these. “International 4-8818,” we asked, “will you report us to the Council and see us lashed to death before your eyes?” They stood straight all of a sudden and they answered: “Rather would we die.” “Then,” we said, “keep silent. This place is ours. This place belongs to us, Equality 7-2521, and to no other men on earth."
A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,https://www.gutenberg.org/files/46/46-h/46-h.htm,"“Are there no prisons?” said the Spirit, turning on him for the last time with his own words. “Are there no workhouses?” The bell struck twelve. Scrooge looked about him for the Ghost, and saw it not. As the last stroke ceased to vibrate, he remembered the prediction of old Jacob Marley, and lifting up his eyes, beheld a solemn Phantom, draped and hooded, coming, like a mist along the ground, towards him. The Phantom slowly, gravely, silently, approached. When it came near him, Scrooge bent down upon his knee; for in the very air through which this Spirit moved it seemed to scatter gloom and mystery."
The Republic,Plato,https://www.gutenberg.org/ebooks/1497.html.images,"What is that? There is a perfection which all knowledge ought to reach, and which our pupils ought also to attain, and not to fall short of, as I was saying that they did in astronomy. For in the science of harmony, as you probably know, the same thing happens. The teachers of harmony compare the sounds and consonances which are heard only, and their labour, like that of the astronomers, is in vain. You mean, I said, those gentlemen who tease and torture the strings and rack them on the pegs of the instrument: I might carry on the metaphor and speak after their manner of the blows which the plectrum gives, and make accusations against the strings, both of backwardness and forwardness to sound; but this would be tedious, and therefore I will only say that these are not the men, and that I am referring to the Pythagoreans, of whom I was just now proposing to enquire about harmony."
Crime and Punishment,Fyodor Dostoyevsky,https://www.gutenberg.org/files/2554/2554-h/2554-h.htm,"“Yes... he was so kind... Dounia, I promised Luzhin I’d throw him downstairs and told him to go to hell....” “Rodya, what are you saying! Surely, you don’t mean to tell us...” Pulcheria Alexandrovna began in alarm, but she stopped, looking at Dounia. Avdotya Romanovna was looking attentively at her brother, waiting for what would come next. Both of them had heard of the quarrel from Nastasya, so far as she had succeeded in understanding and reporting it, and were in painful perplexity and suspense. “Dounia,” Raskolnikov continued with an effort, “I don’t want that marriage, so at the first opportunity to-morrow you must refuse Luzhin, so that we may never hear his name again.”"
Heart of Darkness,Joseph Conrad,https://www.gutenberg.org/files/219/219-h/219-h.htm,"“They swore aloud together—out of sheer fright, I believe—then pretending not to know anything of my existence, turned back to the station. The sun was low; and leaning forward side by side, they seemed to be tugging painfully uphill their two ridiculous shadows of unequal length, that trailed behind them slowly over the tall grass without bending a single blade. “Going up that river was like traveling back to the earliest beginnings of the world, when vegetation rioted on the earth and the big trees were kings. An empty stream, a great silence, an impenetrable forest. The air was warm, thick, heavy, sluggish."
Great Expectations,Charles Dickens,https://www.gutenberg.org/files/1400/1400-h/1400-h.htm,"I took what Joe gave me, and found it to be the crumpled play-bill of a small metropolitan theatre, announcing the first appearance, in that very week, of “the celebrated Provincial Amateur of Roscian renown, whose unique performance in the highest tragic walk of our National Bard has lately occasioned so great a sensation in local dramatic circles.” “Were you at his performance, Joe?” I inquired. “I were,” said Joe, with emphasis and solemnity. “Was there a great sensation?” A ghost-seeing effect in Joe’s own countenance informed me that Herbert had entered the room. So, I presented Joe to Herbert, who held out his hand; but Joe backed from it, and held on by the bird’s-nest."
Adventures of Huckleberry Finn,Mark Twain,https://www.gutenberg.org/files/76/76-h/76-h.htm,"Jim’s eyes bugged out when he heard that; and I reckon mine did, too. Then the baldhead says: “No! you can’t mean it?” Well, that was all easy, so we done it. All through dinner Jim stood around and waited on him, and says, “Will yo’ Grace have some o’ dis or some o’ dat?” and so on, and a body could see it was mighty pleasing to him. But the old man got pretty silent by and by—didn’t have much to say, and didn’t look pretty comfortable over all that petting that was going on around that duke. He seemed to have something on his mind."
The Wonderful Wizard of Oz,L. Frank Baum,https://www.gutenberg.org/files/55/55-h/55-h.htm,"“Or I my courage?” asked the Lion. “Or I my brains?” wailed the Scarecrow, wiping the tears from his eyes with his coat sleeve. “My dear friends,” said Oz, “I pray you not to speak of these little things. Think of me, and the terrible trouble I’m in at being found out.” “Doesn’t anyone else know you’re a humbug?” asked Dorothy. “No one knows it but you four—and myself,” replied Oz. “I have fooled everyone so long that I thought I should never be found out. It was a great mistake my ever letting you into the Throne Room. Usually I will not see even my subjects, and so they believe I am something terrible.”"
"The Count of Monte Cristo, Illustrated",Alexandre Dumas,https://www.gutenberg.org/files/1184/1184-h/1184-h.htm,"“You?” “Yes.” “You have them?” “I have them.” “Ah, indeed?” said the major, who, seeing the object of his journey frustrated by the absence of the papers, feared also that his forgetfulness might give rise to some difficulty concerning the 48,000 francs—“ah, indeed, that is a fortunate circumstance; yes, that really is lucky, for it never occurred to me to bring them.” “I do not at all wonder at it—one cannot think of everything; but, happily, the Abbé Busoni thought for you.” “He is an excellent person.” “He is extremely prudent and thoughtful.” “He is an admirable man,” said the major; “and he sent them to you?”"
Ulysses,James Joyce,https://www.gutenberg.org/files/4300/4300-h/4300-h.htm,"Mr Bloom walked behind the eyeless feet, a flatcut suit of herringbone tweed. Poor young fellow! How on earth did he know that van was there? Must have felt it. See things in their forehead perhaps: kind of sense of volume. Weight or size of it, something blacker than the dark. Wonder would he feel it if something was removed. Feel a gap. Queer idea of Dublin he must have, tapping his way round by the stones. Could he walk in a beeline if he hadn’t that cane? Bloodless pious face like a fellow going in to be a priest."
The Odyssey,Homer,https://www.gutenberg.org/files/1727/1727-h/1727-h.htm,"Meantime the suitors went on board and sailed their ways over the sea, intent on murdering Telemachus. Now there is a rocky islet called Asteris, of no great size, in mid channel between Ithaca and Samos, and there is a harbour on either side of it where a ship can lie. Here then the Achaeans placed themselves in ambush. A And now, as Dawn rose from her couch beside Tithonus—harbinger of light alike to mortals and immortals—the gods met in council and with them, Jove the lord of thunder, who is their king. Thereon Minerva began to tell them of the many sufferings of Ulysses, for she pitied him away there in the house of the nymph Calypso."
The Prophet,Kahlil Gibran,https://www.gutenberg.org/files/58585/58585-h/58585-h.htm,"But the hunter was also the hunted; For many of my arrows left my bow only to seek my own breast. And the flier was also the creeper; For when my wings were spread in the sun their shadow upon the earth was a turtle. And I the believer was also the doubter; 102For often have I put my finger in my own wound that I might have the greater belief in you and the greater knowledge of you. And it is with this belief and this knowledge that I say, You are not enclosed within your bodies, nor confined to houses or fields."
Little Women,Louisa May Alcott,https://www.gutenberg.org/files/514/514-h/514-h.htm,"""I know Meg would wet-blanket such a proposal, but I thought you had more spirit,"" began Laurie insinuatingly. ""Bad boy, be quiet! Sit down and think of your own sins, don't go making me add to mine. If I get your grandpa to apologize for the shaking, will you give up running away?"" asked Jo seriously. ""Yes, but you won't do it,"" answered Laurie, who wished to make up, but felt that his outraged dignity must be appeased first. ""If I can manage the young one, I can the old one,"" muttered Jo, as she walked away, leaving Laurie bent over a railroad map with his head propped up on both hands."
Peter Pan,J. M. Barrie,https://www.gutenberg.org/files/16/16-h/16-h.htm,"Up and down they went, and round and round. Heavenly was Wendy’s word. “I say,” cried John, “why shouldn’t we all go out?” Of course it was to this that Peter had been luring them. Michael was ready: he wanted to see how long it took him to do a billion miles. But Wendy hesitated. “Mermaids!” said Peter again. “Oo!” “And there are pirates.” “Pirates,” cried John, seizing his Sunday hat, “let us go at once.” It was just at this moment that Mr. and Mrs. Darling hurried with Nana out of 27. They ran into the middle of the street to look up at the nursery window; and, yes, it was still shut, but the room was ablaze with light, and most heart-gripping sight of all, they could see in shadow on the curtain three little figures in night attire circling round and round, not on the floor but in the air."
Anne of Green Gables,L. M. Montgomery,https://www.gutenberg.org/files/45/45-h/45-h.htm,"“Well, it needn’t prey any longer. I’ll bake you a basket.” “Oh, you dear good Marilla. Oh, you are so kind to me. Oh, I’m so much obliged to you.” Getting through with her “ohs” Anne cast herself into Marilla’s arms and rapturously kissed her sallow cheek. It was the first time in her whole life that childish lips had voluntarily touched Marilla’s face. Again that sudden sensation of startling sweetness thrilled her. She was secretly vastly pleased at Anne’s impulsive caress, which was probably the reason why she said brusquely: “There, there, never mind your kissing nonsense. I’d sooner see you doing strictly as you’re told."
"The Happy Prince, and Other Tales",Oscar Wilde,https://www.gutenberg.org/ebooks/902.html.images,"So they piled the faggots together, and put the Rocket on top, and lit the fire. “This is magnificent,” cried the Rocket, “they are going to let me off in broad day-light, so that every one can see me.” “We will go to sleep now,” they said, “and when we wake up the kettle will be boiled”; and they lay down on the grass, and shut their eyes. The Rocket was very damp, so he took a long time to burn. At last, however, the fire caught him. “Now I am going off!” he cried, and he made himself very stiff and straight."
The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde,https://www.gutenberg.org/files/844/844-h/844-h.htm,"Memory, my dear Cecily, is the diary that we all carry about with us. Yes, but it usually chronicles the things that have never happened, and couldn’t possibly have happened. I believe that Memory is responsible for nearly all the three-volume novels that Mudie sends us. Do not speak slightingly of the three-volume novel, Cecily. I wrote one myself in earlier days. Did you really, Miss Prism? How wonderfully clever you are! I hope it did not end happily? I don’t like novels that end happily. They depress me so much. The good ended happily, and the bad unhappily. That is what Fiction means."
The Souls of Black Folk,W. E. B. Du Bois,https://www.gutenberg.org/files/408/408-h/408-h.htm,"Dim face of Beauty haunting all the world, Fair face of Beauty all too fair to see, Where the lost stars adown the heavens are hurled,— There, there alone for thee May white peace be. Beauty, sad face of Beauty, Mystery, Wonder, What are these dreams to foolish babbling men Who cry with little noises ’neath the thunder Of Ages ground to sand, To a little sand. It was out in the country, far from home, far from my foster home, on a dark Sunday night. The road wandered from our rambling log-house up the stony bed of a creek, past wheat and corn, until we could hear dimly across the fields a rhythmic cadence of song,—soft, thrilling, powerful, that swelled and died sorrowfully in our ears."
The American Diary of a Japanese Girl,Yoné Noguchi,https://www.gutenberg.org/ebooks/63256.html.images,"You drop into the toilet room, for instance. You cannot help exclaiming: “Iya, haya, Japan is three centuries behind!” Everything presents to you a silent lecture of scientific modernism. Whenever I am bothered too much by my uncle I lock myself up in the toilet room. There I feel the whole world is mine. I can take off my shoes. I can play acrobat if I prefer. Nobody can spy me. It is the place where you can pray or cry all you desire without one interruption. My room is great, equipped with every new invention. Numbers of electric globes dazzle with kingly light above my head."
"Narrative of the Life of Frederick Douglass, an American Slave",Douglass,https://www.gutenberg.org/files/23/23-h/23-h.htm,"I did not, when a slave, understand the deep meaning of those rude and apparently incoherent songs. I was myself within the circle; so that I neither saw nor heard as those without might see and hear. They told a tale of woe which was then altogether beyond my feeble comprehension; they were tones loud, long, and deep; they breathed the prayer and complaint of souls boiling over with the bitterest anguish. Every tone was a testimony against slavery, and a prayer to God for deliverance from chains. The hearing of those wild notes always depressed my spirit, and filled me with ineffable sadness."
A Study in Scarlet,Arthur Conan Doyle,https://www.gutenberg.org/files/244/244-h/244-h.htm,"His eyes fairly glittered as he spoke, and he put his hand over his heart and bowed as if to some applauding crowd conjured up by his imagination. “You are to be congratulated,” I remarked, considerably surprised at his enthusiasm. “There was the case of Von Bischoff at Frankfort last year. He would certainly have been hung had this test been in existence. Then there was Mason of Bradford, and the notorious Muller, and Lefevre of Montpellier, and Samson of New Orleans. I could name a score of cases in which it would have been decisive.” “You seem to be a walking calendar of crime,” said Stamford with a laugh."
The War of the Worlds,H. G. Wells,https://www.gutenberg.org/files/36/36-h/36-h.htm,"If I had fully realised the meaning of all the things I had seen I should have immediately worked my way round through Byfleet to Street Cobham, and so gone back to rejoin my wife at Leatherhead. But that night the strangeness of things about me, and my physical wretchedness, prevented me, for I was bruised, weary, wet to the skin, deafened and blinded by the storm. I had a vague idea of going on to my own house, and that was as much motive as I had. I staggered through the trees, fell into a ditch and bruised my knees against a plank, and finally splashed out into the lane that ran down from the College Arms. I say splashed, for the storm water was sweeping the sand down the hill in a muddy torrent."
Don Quixote,Miguel de Cervantes Saavedra,https://www.gutenberg.org/files/996/996-h/996-h.htm,"The canon was astonished at the methodical nonsense (if nonsense be capable of method) that Don Quixote uttered, at the way in which he had described the adventure of the knight of the lake, at the impression that the deliberate lies of the books he read had made upon him, and lastly he marvelled at the simplicity of Sancho, who desired so eagerly to obtain the county his master had promised him. By this time the canon’s servants, who had gone to the inn to fetch the sumpter mule, had returned, and making a carpet and the green grass of the meadow serve as a table, they seated themselves in the shade of some trees and made their repast there, that the carter might not be deprived of the advantage of the spot, as has been already said."
The Hound of the Baskervilles,Arthur Conan Doyle,https://www.gutenberg.org/files/2852/2852-h/2852-h.htm,"“And when?” “At the end of the week.” “On the whole,” said Holmes, “I think that your decision is a wise one. I have ample evidence that you are being dogged in London, and amid the millions of this great city it is difficult to discover who these people are or what their object can be. If their intentions are evil they might do you a mischief, and we should be powerless to prevent it. You did not know, Dr. Mortimer, that you were followed this morning from my house?” Dr. Mortimer started violently. “Followed! By whom?” “That, unfortunately, is what I cannot tell you."
"The Awakening, and Selected Short Stories",Kate Chopin,https://www.gutenberg.org/files/160/160-h/160-h.htm,"“What do you mean by the courageous soul?” “Courageous, ma foi! The brave soul. The soul that dares and defies.” “Show me the letter and play for me the Impromptu. You see that I have persistence. Does that quality count for anything in art?” “It counts with a foolish old woman whom you have captivated,” replied Mademoiselle, with her wriggling laugh. The letter was right there at hand in the drawer of the little table upon which Edna had just placed her coffee cup. Mademoiselle opened the drawer and drew forth the letter, the topmost one. She placed it in Edna’s hands, and without further comment arose and went to the piano."
The Romance of Lust: A classic Victorian erotic novel,Anonymous,https://www.gutenberg.org/files/30254/30254-h/30254-h.htm,"“‘Oh! the bad girl, to tell tales out of school.’ “‘Never mind, mamma, I must suck it while you play with mine.’ “She gave a scream—though not very loud—and covered her eyes with her hand. I scrambled off her. The doctor, with great politeness, begged her pardon for his intrusion, but hearing what appeared to him an unearthly noise, he had feared she was taken ill. “Here the usual resource of woman—tears—fell plentifully from mamma. The doctor most affectionately begged her to calm herself. “‘My dear madam,’ said he. do not in any way blame you for this. I am a man of the world, and I know that incest is practised to a far greater extent than is at all imagined, and to prove that it in no way offends me, I may at once tell you that it was my own mother who initiated me into these delightful mysteries."
Wuthering Heights,Emily Brontë,https://www.gutenberg.org/files/768/768-h/768-h.htm,"“I see no reason that he should not know, as well as you,” I returned; “and if you are his choice, he’ll be the most unfortunate creature that ever was born! As soon as you become Mrs. Linton, he loses friend, and love, and all! Have you considered how you’ll bear the separation, and how he’ll bear to be quite deserted in the world? Because, Miss Catherine—” “He quite deserted! we separated!” she exclaimed, with an accent of indignation. “Who is to separate us, pray? They’ll meet the fate of Milo! Not as long as I live, Ellen: for no mortal creature."
Treasure Island,Robert Louis Stevenson,https://www.gutenberg.org/files/120/120-h/120-h.htm,"rode hard all the way till we drew up before Dr. Livesey’s door. The house was all dark to the front. Mr. Dance told me to jump down and knock, and Dogger gave me a stirrup to descend by. The door was opened almost at once by the maid. “Is Dr. Livesey in?” I asked. No, she said, he had come home in the afternoon but had gone up to the hall to dine and pass the evening with the squire. “So there we go, boys,” said Mr. Dance. This time, as the distance was short, I did not mount, but ran with Dogger’s stirrup-leather to the lodge gates and up the long, leafless, moonlit avenue to where the white line of the hall buildings looked on either hand on great old gardens."
Leviathan,Thomas Hobbes,https://www.gutenberg.org/files/3207/3207-h/3207-h.htm,"The unformed matter of the World, was a God, by the name of Chaos. The Heaven, the Ocean, the Planets, the Fire, the Earth, the Winds, were so many Gods. From the propagation of Religion, it is not hard to understand the causes of the resolution of the same into its first seeds, or principles; which are only an opinion of a Deity, and Powers invisible, and supernaturall; that can never be so abolished out of humane nature, but that new Religions may againe be made to spring out of them, by the culture of such men, as for such purpose are in reputation."
